Sheet Row,Book,Outcome,Engagement,Counts as Read,Page Flips,Reading Hours,Last Activity,Evidence,Review Note,Kindle Tag,Kindle ASIN
227,Read Write Own: Building the Next Era of the Internet,Partial,Partial,Yes,694,8.8,2024-04-07,Manual confirmation,Read roughly one-third to one-half; got enough of the gist.,In Progress,B0C8FNFV38
228,Parable of the Sower,Completed,Deep,Yes,1197,8.8,2024-04-14,Kindle library tag: Finished,,Finished,B0BZHT26LV
229,Barrayar (Vorkosigan Saga) (Miles Vorsokigan Book 7),Unknown / Inactive,Light,No,18,0.5,2024-04-16,Kindle activity; no completion event,,In Progress,B005BFIH7M
230,Parable of the Talents,Completed,Deep,Yes,1542,12.8,2024-04-26,Kindle library tag: Finished,,Finished,B0BZHR92F7
231,Thirty Million Words: Building a Child's Brain,Partial,Partial,Yes,680,10.3,2024-10-06,Manual confirmation,Did not finish; got enough of the gist and really liked it.,In Progress,B00SI02BHE
232,Howling Dark: The Sun Eater: Book Two,Completed,Deep,Yes,3200,40.7,2024-06-20,Kindle library tag: Finished,,Finished,B07J48PWT5
233,Demon in White: The Sun Eater: Book Three,Completed,Deep,Yes,2702,39.4,2024-07-14,Kindle library tag: Finished,,Finished,B081M784DV
234,Kingdoms of Death: The Sun Eater: Book Four,Completed,Deep,Yes,1803,29.7,2024-12-02,Kindle library tag: Finished,,Finished,B096WYRG91
235,Ashes of Man: The Sun Eater: Book Five,Completed,Deep,Yes,1771,29.9,2024-09-12,Kindle library tag: Finished,,Finished,B0B6YZQ2WC
236,New York 2140,Completed,Deep,Yes,1963,27.5,2024-11-29,Kindle library tag: Finished,,Finished,B01KT7YTO6
237,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Stopped,Partial,No,133,1.8,2024-12-02,Manual confirmation,Abandoned.,In Progress,B074DG9LQF
238,Leviathan Wakes (The Expanse Book 1),Completed,Deep,Yes,1582,21.3,2024-12-21,Kindle library tag: Finished,,Finished,B0047Y171G
239,Slow Productivity: The Lost Art of Accomplishment Without Burnout,Unknown / Inactive,Light,No,118,0.2,2024-12-21,Kindle activity; no completion event,,In Progress,B0C7716FW1
240,Starfish (Rifters Trilogy Book 1),Completed,Deep,Yes,839,11.7,2025-01-01,Kindle library tag: Finished,,Finished,B00M64A8EG
241,Caliban's War (The Expanse Book 2),Completed,Deep,Yes,1188,24.4,2025-02-04,Kindle library tag: Finished,,Finished,B005SCRR1A
242,Making Sense of Chaos: A Better Economics for a Better World,Stopped,Partial,No,158,5.6,2025-02-09,Manual confirmation,"Read about half and liked it, but abandoned it.",In Progress,B0CW1GKL6V
243,Maelstrom (Rifters Trilogy Book 2),Completed,Deep,Yes,998,15,2025-02-22,Kindle library tag: Finished,,Finished,B004LB4SH0
244,Abaddon's Gate (The Expanse Book 3),Completed,Deep,Yes,1435,17.1,2025-03-08,Kindle library tag: Finished,,Finished,B00A2DZMYE
245,"The Great Rebalancing: Trade, Conflict, and the Perilous Road Ahead for the World Economy - Updated Edition",Unknown / Inactive,Light,No,25,0.4,2025-03-09,Kindle activity; no completion event,,In Progress,B00KZY6AX2
246,The Churn: An Expanse Novella (The Expanse),Completed,Deep,Yes,168,1.8,2025-03-10,Kindle library tag: Finished,,Finished,B00I82884W
247,Gods of Risk: An Expanse Novella (The Expanse),Completed,Deep,Yes,169,1.7,2025-03-11,Kindle library tag: Finished,,Finished,B008CJ241O
248,Livesuit (The Captive's War),Completed,Deep,Yes,16,0,2025-03-10,Kindle library tag: Finished,,Finished,B0D8HPDKYB
249,Old Mars,Partial,Deep,Yes,968,15.9,2025-04-01,Manual confirmation,Read some stories; counts as read because it is a collection.,In Progress,B00CCPIKJE
250,Cibola Burn (The Expanse Book 4),Completed,Deep,Yes,1209,19.8,2025-04-12,Kindle library tag: Finished,,Finished,B00FPQA4F0
251,Traction: Get a Grip on Your Business,Unknown / Inactive,Light,No,21,0.5,2025-04-13,Kindle activity; no completion event,,In Progress,B007QWLLV2
252,"Solve Your Child's Sleep Problems: Revised Edition: New, Revised, and Expanded Edition",Unknown / Inactive,Light,No,28,0.3,2025-04-21,Kindle activity; no completion event,,In Progress,B000NY11NI
253,Nemesis Games (The Expanse Book 5),Completed,Deep,Yes,1298,23.3,2025-05-09,Kindle library tag: Finished,,Finished,B00O7X626W
254,"Healthy Sleep Habits, Happy Child, 5th Edition: A New Step-by-Step Guide for a Good Night's Sleep",Completed,Deep,Yes,168,2.1,2025-04-25,Kindle library tag: Finished,,Finished,B093KH2CTX
255,Babylon's Ashes (The Expanse Book 6),Completed,Deep,Yes,1939,28.6,2025-06-06,Kindle library tag: Finished,,Finished,B018S2773Y
256,"Land is a Big Deal: Why rent is too high, wages too low, and what we can do about it",Completed,Deep,Yes,684,15.7,2025-07-04,Kindle library tag: Finished,,Finished,B0BL8H6Y9S
257,Persepolis Rising (The Expanse Book 7),Completed,Deep,Yes,2405,20,2025-07-22,Kindle library tag: Finished,,Finished,B06XKN9G27
258,Tiamat's Wrath (The Expanse Book 8),Completed,Deep,Yes,2381,19.5,2025-08-04,Kindle library tag: Finished,,Finished,B07BVNVWL6
259,Auberon: An Expanse Novella (The Expanse),Completed,Deep,Yes,310,4.6,2025-08-11,Kindle library tag: Finished,,Finished,B07YKR19FN
260,The Vital Abyss: An Expanse Novella (The Expanse),Completed,Deep,Yes,320,5.1,2025-08-17,Kindle library tag: Finished,,Finished,B015NRKNS8
261,Leviathan Falls (The Expanse Book 9),Completed,Deep,Yes,2367,26.2,2025-09-26,Kindle library tag: Finished,,Finished,B08Y8LBCLH
262,Abundance,Completed,Deep,Yes,995,13.7,2025-10-17,Manual confirmation,Completed; also listened to the audiobook.,In Progress,B0C7RLJSQD
263,Shadow of Empire: The First Military SciFi Space Opera – A Swashbuckling Far Stars Series Adventure,Completed,Deep,Yes,1314,18.5,2025-11-07,Kindle library tag: Finished,,Finished,B00TE98BNQ
264,Dungeon Crawler Carl: Dungeon Crawler Carl Book 1,Completed,Deep,Yes,1148,11,2025-12-12,Kindle library tag: Finished,,Finished,B08BKGYQXW
265,Carl's Doomsday Scenario: Dungeon Crawler Carl Book 2,Completed,Deep,Yes,986,9.5,2025-12-06,Kindle library tag: Finished,,Finished,B08PBCD9Y7
266,The Dungeon Anarchist's Cookbook: Dungeon Crawler Carl Book 3,Completed,Deep,Yes,1446,15.2,2025-12-12,Kindle library tag: Finished,,Finished,B08V4QSV6W
267,The Gate of the Feral Gods: Dungeon Crawler Carl Book 4,Completed,Deep,Yes,1609,20.4,2025-12-25,Kindle library tag: Finished,,Finished,B093DJ7F3C
268,The Butcher's Masquerade: Dungeon Crawler Carl Book 5,Completed,Deep,Yes,2022,19,2025-12-29,Kindle library tag: Finished,,Finished,B09R6C5X88
269,The Eye of the Bedlam Bride: Dungeon Crawler Carl Book 6,Completed,Deep,Yes,2321,20.9,2026-01-06,Kindle library tag: Finished,,Finished,B0C1R52V2J
270,This Inevitable Ruin: Dungeon Crawler Carl Book 7,Completed,Deep,Yes,2442,25.2,2026-01-22,Kindle library tag: Finished,,Finished,B0DJWKWV8W
271,Good Strategy Bad Strategy: The Difference and Why It Matters,Completed,Deep,Yes,96,1.7,2026-02-08,Kindle library tag: Finished,,Finished,B004J4WKEC
272,Eon (The Way Book 1),Reading,Partial,No,163,3.5,2026-02-15,Recent Kindle activity,,In Progress,B00J3EU5RC
273,softwarearchitectelevator,Reading,Unknown,No,,,,Existing reading status,,,
274,One Second After (A John Matherson Novel Book 1),Reading,Deep,No,1219,10.7,2026-03-12,Recent Kindle activity,,,B002LATV16
275,There Is No Antimemetics Division: A Novel,Completed,Deep,Yes,749,8.4,2026-04-30,Amazon completion event,,,B0DSJ2LW2Z
276,Planetfall (A Planetfall Novel Book 1),Reading,Partial,No,604,11.5,2026-05-17,Recent Kindle activity,,,B00SI0B65W
277,Accelerando (Singularity Book 3),Completed,Deep,Yes,1205,23.4,2026-06-26,Amazon completion event,,,B000OIZUC6
278,The Quantum Thief (Jean le Flambeur Book 1),Reading,Deep,No,1061,14.9,2026-06-02,Recent Kindle activity,,,B004ULPVN6
279,"A Parade of Horribles: Dungeon Crawler Carl, Book 8",Reading,Deep,No,968,16.6,2026-07-19,Recent Kindle activity,,,B0GJJDXG4L
280,The Manager's Path,Unknown,Unknown,,,,,Libby loan only,,,
281,The Ascent of Money,Unknown,Unknown,,,,,Libby loan only,,,
282,The Wright Brothers,Unknown,Unknown,,,,,Libby loan only,,,
283,Learning How to Learn,Unknown,Unknown,,,,,Libby loan only,,,
284,The Storm Before the Calm,Unknown,Unknown,,,,,Libby loan only,,,
285,The Next 100 Years,Unknown,Unknown,,,,,Libby loan only,,,
286,The Contrarian,Unknown,Unknown,,,,,Libby loan only,,,
287,Too Like the Lightning,Unknown,Unknown,,,,,Libby loan only,,,
288,Trade Wars Are Class Wars,Unknown,Unknown,,,,,Libby loan only,,,
289,End Times,Unknown,Unknown,,,,,Libby loan only,,,
290,Liberalism and Its Discontents,Unknown,Unknown,,,,,Libby loan only,,,
291,Meltdown,Unknown,Unknown,,,,,Libby loan only,,,
292,How to Win Friends and Influence People,Unknown,Unknown,,,,,Libby loan only,,,
293,Refactoring ,,,,,,,,,,
